Time,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,Activity
12:04:17,-1.24,-0.557,0.227,-75.854,44.024,315.915,1
12:04:18,-1.096,-0.204,0.179,21.524,40.427,26.89,1
12:04:19,-1.004,-0.324,0.095,-9.329,-4.024,7.744,1
12:04:20,-1.05,-0.176,0.233,10.366,-6.707,-9.39,1
12:05:19,-1.16,0.08,0.765,19.451,-15.488,4.207,2
12:06:21,-1.17,-0.063,0.475,16.098,56.524,5.671,3
12:07:22,-0.95,-0.359,0.144,21.098,15.671,22.622,4
12:08:21,-0.982,-0.336,0.168,8.11,5.854,-23.72,5
12:13:54,-0.958,-0.396,0.193,-109.512,-40,-22.744,7
12:13:55,-0.947,-0.39,0.261,2.744,5.244,-19.817,7
12:13:56,-0.947,-0.381,0.247,0.976,-3.11,-5.366,7
12:13:57,-0.93,-0.39,0.284,-0.183,1.646,-2.317,7
12:13:58,-0.939,-0.398,0.261,-7.134,-3.415,-1.829,7
12:13:59,-0.974,-0.394,0.167,12.561,17.195,1.159,7
12:14:00,-0.985,-0.248,0.189,-43.049,-48.659,-64.695,7
12:14:01,-0.953,-0.303,0.154,-20.427,-25.976,-52.744,7
12:14:02,-0.98,-0.307,0.189,18.963,-12.561,-44.146,7
12:14:03,-0.971,-0.318,0.178,3.841,-5.915,-15.305,7
12:14:04,-0.987,-0.331,0.193,0.183,0.61,-7.317,7
12:14:05,-1.018,-0.355,0.238,-29.695,-7.195,-10.305,7
12:14:06,0.745,0.238,0.621,-6.28,0.854,-8.841,7
12:14:07,0.492,0.364,0.771,-28.72,46.951,18.659,7
12:14:08,-0.789,-0.528,0.155,56.098,17.439,0.549,7
12:14:09,-0.968,-0.425,0.16,-1.098,12.378,11.402,7
12:14:10,-0.98,-0.348,0.216,8.963,6.463,-9.573,7
12:14:11,-0.694,-0.663,-0.014,12.805,4.146,-33.598,7
12:14:12,-0.984,-0.261,0.271,13.171,-1.829,-31.159,7
12:14:13,-1.003,-0.311,0.211,9.024,-14.634,-3.659,7
12:14:14,-0.964,-0.321,0.197,-2.988,-5.976,0,7
12:14:15,0.293,0.227,0.552,0.122,53.78,-143.354,7
12:14:16,0.753,0.129,0.661,5.549,-22.988,-0.732,7
12:14:17,0.555,0.293,0.63,-12.378,-6.402,19.573,7
12:14:18,-0.831,-0.524,0.104,-81.037,-31.829,-39.634,7
12:14:19,-0.971,-0.369,0.229,-2.561,-6.524,-23.537,7
12:14:20,-0.977,-0.339,0.239,4.573,-5.061,-9.939,7
12:14:21,-0.96,-0.339,0.23,3.293,5.671,-1.037,7
12:14:22,-0.953,-0.315,0.21,-1.89,-4.817,-8.171,7
12:14:23,-0.972,-0.33,0.232,-4.146,-0.61,5.061,7
12:14:24,-0.972,-0.322,0.245,-4.695,2.622,0.976,7
12:14:25,-0.927,-0.342,0.186,4.451,5.366,11.037,7
12:14:26,-0.978,-0.323,0.205,-29.268,-9.573,-20.305,7
12:14:27,-0.979,-0.317,0.222,3.963,-0.427,0.061,7
12:14:28,-0.967,-0.327,0.226,1.463,0.488,-0.488,7
12:14:29,-0.988,-0.34,0.25,23.232,-1.89,0.61,7
12:14:30,-1.034,-0.37,0.281,62.683,-4.329,-4.024,7
12:14:31,-0.989,-0.319,0.391,1.463,2.134,-56.22,7
12:14:32,-0.934,-0.43,0.283,101.585,63.72,-9.146,7
12:14:33,-0.955,-0.332,0.215,-19.939,13.72,26.646,7
12:14:34,-0.96,-0.306,0.23,20.61,12.256,5.854,7
12:14:35,-1.011,-0.262,0.311,-5.061,19.268,12.317,7
12:14:36,-0.976,-0.323,0.23,-9.756,-0.305,6.951,7
12:14:37,-0.946,-0.339,0.231,8.476,-0.671,4.268,7
12:14:38,-0.975,-0.279,0.257,-2.439,7.683,18.963,7
12:14:39,-0.971,-0.33,0.258,9.634,22.683,41.829,7
12:14:40,-0.971,-0.344,0.225,-7.988,3.171,22.744,7
12:14:41,-0.964,-0.345,0.237,-0.183,5.366,5.061,7
12:14:42,-0.909,-0.391,0.222,35.915,21.037,15.122,7
12:14:43,-1.029,-0.226,0.292,16.402,5.122,-6.098,7
12:14:44,-0.997,-0.342,0.252,-1.585,-11.89,-21.28,7
12:14:45,-0.96,-0.342,0.234,22.622,8.415,-4.207,7
12:14:46,-0.99,-0.336,0.227,-14.085,-4.451,-9.207,7
12:14:47,-0.605,-1.54,-0.214,-69.756,87.256,-380.915,7
12:14:48,0.706,-0.231,0.641,7.988,-6.646,0.915,7
12:14:49,0.604,0.112,0.521,-113.476,30.854,-20,7
12:14:50,0.052,-0.067,0.268,-118.537,-60.976,226.098,7
12:14:51,-0.871,-0.283,0.137,92.622,-2.439,-38.476,7
12:14:52,-0.925,-0.283,0.222,15.549,-1.037,-27.195,7
12:14:53,-0.965,-0.324,0.284,21.768,-16.585,-20.183,7
12:14:54,-0.701,-0.715,0.003,-64.39,-18.598,-1.159,7
12:21:15,-0.99,-0.178,0.299,107.561,24.573,-14.329,9
12:21:16,-1.009,0.004,0.424,15.244,-12.439,4.451,9
12:21:18,-0.749,-0.38,0.142,132.256,63.963,3.476,9
12:21:19,-1.27,-0.416,0.321,-79.817,52.378,94.634,9
12:21:20,-1.008,-0.401,0.256,16.707,49.085,69.024,9
12:21:21,-0.988,-0.431,0.316,1.098,15.305,18.049,9
12:21:22,-0.951,-0.375,0.264,-5.244,8.963,10.671,9
12:21:23,-0.968,-0.358,0.254,-0.915,-0.183,3.598,9
12:21:24,-0.975,-0.33,0.261,0.488,0,-5.061,9
12:21:25,-0.968,-0.33,0.246,-1.89,-0.549,-1.463,9